Name,Code,CURRENCY,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Q4 2006,Q3 2006,Q2 2006,Q1 2006,Q4 2005
SHAHE INDUSTRY 'A' - MRKT VALUE TO BOOK,CN:HUY(MTBV),CH,1.75,1.82,1.87,2.37,2.44,1.76,2.11,2.13,2.18,2.79,2.12,2.42,3.49,2.8,2.94,4.56,4.59,4.94,5.7,5.87,5.07,4.95,6.43,4.54,6.76,5.8,4.18,4.6,3.04,3,3.4,3.53,2.79,2.95,2.93,2.88,3.35,1.82,1.76,2.21,2.87,3.62,3.61,4.24,3.86,5.42,6.73,5.82,6.43,4.94,3.8,3.01,5.19,5.05,7.53,7.53,5.86,4.42,2.84,2.67,2.02,1.65,1.9
SHAHE INDUSTRY 'A' - MARKET VALUE,CN:HUY(MV),CH,1563.21,1627.76,1670.12,2115.88,2182.45,1577.33,1877.87,1896.03,1942.42,2487.02,1873.84,2138.07,3092.14,2480.97,2174.38,3378.56,3396.71,3660.94,4193.44,4324.55,3735.57,3644.81,4600.89,3247.45,4834.87,4145.04,2783.53,3063.9,2025.12,1996.88,2069.49,2146.14,1694.32,1791.14,1710.46,1680.2,1956.54,1065,988.35,1240.49,1609.61,2031.17,1853.67,2178.41,1982.76,2783.53,3126.43,2702.85,2987.25,2295.4,1484.55,1173.92,2027.81,1974.03,2589.9,2588.56,2014.37,1518.17,972.22,911.71,692.07,563.88,595.25
SHAHE INDUSTRY 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:HUY(WC08287A),CH,2.864,2.648,2.688,2.372,2.126,2.228,2.185,2.257,2.207,2.249,2.136,2.371,2.134,2.042,1.976,1.969,2.036,2.271,2.465,3.048,2.979,2.991,2.947,3.119,3.015,3.126,3.245,3.444,3.25,2.883,2.971,3.219,3.306,3.507,3.351,3.228,3.174,3.095,3.126,2.964,2.973,2.931,3.007,3.22,2.978,2.793,3.697,3.749,3.779,4.074,4.238,4.444,3.993,3.514,3.204,3.237,2.974,2.947,3.006,2.966,2.672,3.229,3.189
SHANGHAI FENGHWA GP.'A',CN:SFH(P),CH,7.65,6.49,6.7,8.07,9.27,8.13,11.44,8.59,7.17,13.12,10.48,8.8,8.67,11.74,13.26,15.73,15.83,17.69,21.04,19.82,17.89,20.36,22.54,14.8,22.99,19.79,11.75,12.45,10.08,9.76,9.8,10.1,8.31,8.91,9.4,10.93,10.4,7.45,6.65,10.44,9.69,10.08,9.25,9.58,7.95,11.9,12.18,7.64,10.48,9.35,4.36,7.28,8.51,19.43,19.43,12.8,9.61,9.87,5.76,5.18,4.48,3.38,3.54
SHANGHAI FENGHWA GP.'A' - TOTAL ASSETS,CN:SFH(WC02999A),CH,673356,671989,676698,667817,669181,667282,677457,674172,629393,635669,646164,666849,649782,654606,650177,651838,664689,553317,646840,637194,633661,627515,628992,637832,636596,641039,641421,620506,630215,626099,622584,541219,529388,524682,532932,533933,540007,569953,567297,826576,836585,713259,724180,838963,770306,700782,711336,756112,791643,761158,753305,629685,519047,511760,521089,464684,464748,455257,576801,733369,776090,748654,688447
SHANGHAI FENGHWA GP.'A' - MRKT VALUE TO BOOK,CN:SFH(MTBV),CH,2.27,1.93,1.99,2.4,2.75,2.42,3.41,2.56,2.14,3.91,3.29,2.76,2.72,3.69,4.22,5.01,5.04,5.63,8.15,7.68,6.93,7.89,8.89,5.83,9.06,7.8,4.49,4.76,3.85,3.73,3.85,3.97,3.26,3.5,3.57,4.15,3.95,2.83,2.55,4,3.71,3.86,3.43,3.56,2.95,4.42,6.46,4.05,5.56,4.96,2.35,3.92,4.58,10.45,21.11,13.91,10.44,10.72,3.84,3.46,2.99,2.25,3.05
SHANGHAI FENGHWA GP.'A' - MARKET VALUE,CN:SFH(MV),CH,1438.36,1220.25,1259.74,1517.32,1742.95,1528.61,2150.95,1615.1,1348.11,2466.83,1970.45,1654.58,1630.14,2207.36,2493.15,2957.56,2976.36,3326.08,3955.95,3726.57,3363.68,3828.1,4237.98,2782.7,4322.59,3720.92,2209.24,2340.85,1895.25,1835.08,1842.6,1899.01,1562.45,1675.26,1767.39,2055.06,1955.41,1400.75,1250.34,1962.93,1821.92,1895.25,1739.19,1801.24,1494.76,2237.44,2290.08,1436.47,1970.45,1757.99,819.77,1368.79,1600.05,3653.22,3653.22,2406.66,1806.87,1855.76,1082.99,974.7,842.33,634.76,664.84
SHANGHAI FENGHWA GP.'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SFH(WC08287A),CH,1.07,1.069,1.069,1.064,1.063,1.059,1.073,1.07,1.058,1.062,1.079,1.1,1.095,1.101,1.101,1.105,1.134,1.137,1.333,1.316,1.31,1.313,1.319,1.28,1.277,1.293,1.304,1.267,1.297,1.298,1.3,1.086,1.059,1.06,1.076,1.086,1.096,1.157,1.155,1.69,1.68,1.417,1.43,2.431,2.23,2.002,2.007,2.134,2.211,2.168,2.155,2.716,2.232,2.935,3.011,3.139,3.008,2.842,2.047,3.714,3.739,3.511,3.161
SHANXI GUOXIN ENERGY 'A',CN:SLS(P),CH,4.02,4.21,4.69,4.42,3.91,3.63,4.77,4.99,5.59,5.55,4.85,6.34,5.43,6.9,8.26,9.03,9.53,10.78,10.5,11.35,11.46,14.33,15.33,15.75,18.27,19.56,14.68,11.78,10.41,11.49,12.34,11.04,5.31,5.31,5.28,5.79,5.16,7.16,6.66,6.72,7.21,7.92,6.68,6.08,4.98,4.88,4.41,3.68,3.91,3.63,2.44,3.42,3.91,5.95,12.22,11.36,5.5,9.92,4.11,4.11,3.62,2.98,2.72
SHANXI GUOXIN ENERGY 'A' - TOTAL ASSETS,CN:SLS(WC02999A),CH,27755298,27833539,27797987,26982894,28274092,30962133,29419372,29527074,28919197,29456922,28773275,27949371,27366456,27155185,25640499,24571788,23988671,23429007,21506912,20058328,18966098,18301908,17302623,17573928,15545713,14877289,14203769,13358755,12450130,12510931,10772716,21265,20384,20704,20321,2618,4786,9609,17921,58476,55420,30618,60894,31254,43799,55272,61768,107049,124471,125731,129595,170983,179646,190934,195659,225317,219703,281372,NA,NA,NA,NA,394784
SHANXI GUOXIN ENERGY 'A' - MRKT VALUE TO BOOK,CN:SLS(MTBV),CH,1.88,1.97,1.69,1.59,1.41,1.3,1.37,1.43,1.6,1.59,1.39,1.82,1.56,1.98,2.41,2.64,2.78,3.15,3.07,3.32,3.35,4.19,4.72,4.47,5.19,5.56,7.09,5.69,5.03,5.55,10.33,1.9,0.92,0.92,-21.76,-23.87,-21.28,-29.52,-31.7,-31.98,-34.3,-37.65,-24.9,-22.64,-18.54,-18.17,-17.88,-14.9,-15.83,-14.71,-30.47,-42.73,-48.76,-74.24,133.57,124.12,60.1,108.44,56.23,56.23,49.48,40.71,53.12
SHANXI GUOXIN ENERGY 'A' - MARKET VALUE,CN:SLS(MV),CH,5098.34,5339.31,4572.34,4309.12,3811.91,3538.94,4650.34,4864.82,5449.77,5410.77,4728.33,6180.95,5293.78,6726.91,8052.79,8803.47,9290.93,10509.57,10236.6,11065.27,11172.52,13970.52,14945.43,14150.02,16414.03,17571.93,13185.55,10580.14,9348.79,10321.19,10458.08,1926.48,926.81,926.81,921.67,1010.97,901.15,1250.11,1162.87,1173.13,1258.32,1381.48,1165.95,1060.23,868.3,850.85,769.77,641.47,681.5,633.26,425.94,597.34,681.5,1037.65,2132.78,1981.9,959.65,1731.47,717.43,717.43,631.21,519.34,475.2
SHANXI GUOXIN ENERGY 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SLS(WC08287A),CH,6.766,6.669,9.21,8.426,8.064,8.274,7.769,7.808,7.62,7.696,7.62,7.449,7.318,7.236,6.904,6.602,6.303,6.152,5.795,5.378,5.195,4.934,4.917,7.177,6.619,6.54,6.81,6.885,6.787,7.17,9.425,-0.275,-0.278,-0.297,-0.295,-0.046,-0.086,-0.16,-0.3,-0.994,-0.997,-0.403,-0.798,-0.419,-0.616,-0.803,-0.881,-4.572,-3.859,-4.971,-5.691,10.284,10.412,7.978,7.522,7.551,13.514,19.471,NA,NA,NA,NA,27.092
SHANGHAI TIANCHEN 'A',CN:SLC(P),CH,7.2,6.37,6.17,7.5,5.88,5.88,6.47,6.6,7.51,7.98,5.4,5.98,6.37,8.57,10.57,12.63,12.45,14.15,16.19,14.98,10.43,10.41,13.83,12.85,10.37,10.05,6.23,5.99,4.81,5.71,6,6.13,3.53,3.74,2.37,2.07,2.33,2.24,2.13,2.94,3.72,4.22,3.72,4.29,3.57,4.66,3.94,3.59,4.07,3.61,2.45,3.11,2.08,4.73,4.44,5.49,3.27,3,1.8,2.24,1.27,1.15,1.21
SHANGHAI TIANCHEN 'A' - TOTAL ASSETS,CN:SLC(WC02999A),CH,3059153,2866143,2934595,3082971,2930706,2723785,3159895,3182609,3147784,3261880,2860680,2773128,2830173,2992629,2965531,3032953,3143957,3108722,3342469,3560298,3899409,4527428,5394712,4504282,7678820,918979,858115,956500,924309,998688,942393,1035643,1044567,1121531,998311,897776,892252,951990,959138,995409,972072,1069920,1162360,1657370,1681964,1424480,1408038,1464564,1435244,1400106,1312840,1361122,1522907,1492834,1379067,1658505,1646659,1655223,1583854,1498239,1300286,1326724,1298056
SHANGHAI TIANCHEN 'A' - MRKT VALUE TO BOOK,CN:SLC(MTBV),CH,2.08,1.84,1.78,2.17,1.7,1.7,1.76,1.8,2.04,2.17,1.62,1.8,1.92,2.58,2.96,3.54,3.49,3.96,4.11,3.8,2.64,2.64,2.24,2.08,1.68,1.63,5.13,4.94,3.97,4.7,4.97,5.07,2.93,3.1,2.19,1.9,2.14,2.06,2.08,2.88,3.64,4.13,3.56,4.11,3.42,4.46,4.54,4.13,4.69,4.15,2.92,3.71,2.48,5.63,5.5,6.8,4.04,3.72,2.48,3.07,1.74,1.58,1.66
SHANGHAI TIANCHEN 'A' - MARKET VALUE,CN:SLC(MV),CH,4944.07,4374.13,4236.8,5150.07,4037.66,4037.66,4442.8,4532.07,5156.94,5479.68,3708.05,4106.32,4374.13,5884.82,7258.17,8672.73,8549.13,9716.47,11117.29,10286.41,7162.04,7146.02,9494.45,8821.51,7118.55,6903.39,4275.7,4115.48,3305.2,3918.64,4120.06,4207.04,2426.26,2568.17,1629.71,1419.13,1597.67,1538.16,1460.33,2018.83,2554.44,2898.12,2556.55,2947.43,2450.91,3197.45,2707.97,2464.99,2796,2477.8,1683.88,2138.46,1430.98,3246.11,3050.83,3771.12,2244.1,2061.63,1238.9,1536.62,870.75,790.72,832.33
SHANGHAI TIANCHEN 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SLC(WC08287A),CH,1.254,1.234,1.235,1.238,1.24,1.24,1.252,1.25,1.257,1.261,1.253,1.202,1.212,1.211,1.209,1.212,1.226,1.22,1.234,1.24,1.247,1.261,1.273,1.259,1.29,1.025,1.029,1.123,1.157,1.142,1.136,1.23,1.231,1.299,1.34,1.242,1.262,1.368,1.368,1.426,1.395,1.514,1.62,3.017,3.012,2.436,2.36,2.75,2.593,2.491,2.278,2.471,2.769,2.679,2.486,3.154,3.142,3.309,3.167,3.124,2.667,2.671,2.588
LVJING HOLDING 'A',CN:HNE(P),CH,5.49,6.23,9.25,7.75,6.64,6.64,7.13,6.66,7.75,9.3,7.6,6.72,7.35,9.17,11.03,11.57,12.08,15.38,21.2,23.18,20.41,24.29,31.7,17.67,13.1,13.1,9.44,10.57,7.69,7.69,6.35,7.17,4.91,5.34,6.22,5.7,6.23,6.71,4.89,6.73,7.99,8.88,8.49,9.83,7.18,11.75,9.96,8.61,11.22,10.15,7.66,7.36,5.09,10.67,16.28,15.75,7.18,7.75,5.82,5.77,5.77,4.82,4.13
LVJING HOLDING 'A' - TOTAL ASSETS,CN:HNE(WC02999A),CH,409782,223965,231581,238149,242645,244657,246872,252489,253754,254881,416494,393319,517675,508317,518080,470134,489289,556417,622772,464456,489782,488337,404699,282763,296176,265925,270708,301979,291559,297234,309702,307507,297721,297406,300139,323046,391827,418910,451942,530344,901162,881162,814330,753366,630344,649799,552699,648441,754468,776018,779889,758314,829738,866401,723652,754489,563403,620596,647228,639212,642035,573945,536637
LVJING HOLDING 'A' - MRKT VALUE TO BOOK,CN:HNE(MTBV),CH,5.67,6.43,9.55,8,6.86,6.86,6.67,6.23,7.25,8.71,6.8,6.02,6.58,8.21,15.8,16.57,17.3,22.03,18.46,20.18,17.77,21.15,32.52,18.13,13.44,13.44,8.56,9.58,6.97,6.97,5.85,6.61,4.52,4.92,5.94,5.44,5.95,6.41,4.41,6.07,7.2,8,7.01,8.11,5.93,9.7,6.73,5.82,7.59,6.86,5.88,5.65,3.91,8.19,15.04,14.55,6.63,7.16,3.66,3.63,3.63,3.03,2.42
LVJING HOLDING 'A' - MARKET VALUE,CN:HNE(MV),CH,1014.66,1151.43,1709.58,1432.35,1227.2,1227.2,1317.76,1230.9,1432.35,1718.82,1404.63,1241.99,1358.42,1694.79,2038.56,2138.36,2232.62,2842.52,3918.17,4284.11,3772.17,4489.26,5858.78,3265.76,2421.14,2421.14,1744.7,1953.54,1421.26,1421.26,1173.6,1325.16,907.46,986.94,1149.58,1053.47,1151.43,1240.14,903.77,1243.83,1476.71,1641.2,1569.12,1816.78,1327,2171.63,1840.8,1591.3,2073.68,1875.92,1415.72,1360.27,940.73,1972.03,3008.87,2910.91,1327.01,1432.35,905.99,898.2,898.2,750.32,642.91
LVJING HOLDING 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:HNE(WC08287A),CH,2.393,1.286,1.294,1.251,1.242,1.244,1.25,1.234,1.235,1.234,2.017,2.33,4.942,4.263,4.015,3.049,2.824,2.913,2.934,3.191,3.12,2.96,2.246,1.451,1.492,1.323,1.328,1.532,1.45,1.465,1.544,1.534,1.574,1.555,1.55,1.654,1.954,2.064,2.204,2.075,4.221,4.312,3.636,3.13,2.565,2.531,2.022,2.427,2.803,3.174,3.238,2.896,3.93,4.342,3.616,3.441,2.579,2.849,2.617,2.595,2.422,2.152,2.024
EVERBRIGHT JIABAO 'A',CN:SJI(P),CH,3.03,3.22,3.38,3.79,3.93,3.65,3.9,4.23,4.87,6.65,4.36,4.72,5.53,7.94,10.63,11.7,9.63,8.82,6.56,7.32,6.26,5.94,7.73,5.08,6.31,4.93,3.77,3.37,2.73,2.8,2.81,3.11,2.53,2.76,3.16,2.7,2.8,2.8,2.64,3.2,3.78,4.52,4.64,3.99,3.7,6.44,5.58,4.47,5.23,2.77,1.8,2.91,2.32,3.52,4.32,5.12,3.6,2.77,1.64,1.68,1.54,1.07,1.21
EVERBRIGHT JIABAO 'A' - TOTAL ASSETS,CN:SJI(WC02999A),CH,34869624,35016947,33622276,32071117,28416655,27863310,28182522,28010328,23568293,21914260,24955567,21685779,20184469,19446128,13343698,13061251,12023120,12539975,14278785,12302169,11352875,10611011,9226816,9042558,8867855,8840615,8885490,8634000,9034751,8336178,7872506,7902743,7413592,7157426,7139040,6749400,6406607,6777492,6002734,6146057,5699997,5485149,5181629,4395058,4377625,4326558,3641331,3504905,3140902,2949216,3010759,2825896,2752767,2693325,2394823,1685179,1508651,1552214,1568522,1505467,1492791,1297916,1277268
EVERBRIGHT JIABAO 'A' - MRKT VALUE TO BOOK,CN:SJI(MTBV),CH,0.68,0.72,0.76,0.85,0.88,0.82,0.92,0.99,0.88,1.56,1.07,1.16,1.36,1.95,2.93,3.23,2.66,2.43,1.93,2.15,1.84,1.74,3.68,1.82,2.26,1.77,1.44,1.29,1.04,1.07,1.18,1.31,1.07,1.16,1.47,1.26,1.31,1.31,1.36,1.65,1.95,2.33,2.58,2.22,2.06,3.59,3.59,2.87,3.36,1.78,1.35,2.18,1.73,2.63,3.47,3.47,2.44,1.87,2.43,2.49,2.28,1.58,1.93
EVERBRIGHT JIABAO 'A' - MARKET VALUE,CN:SJI(MV),CH,4544.04,4828.98,5068.93,5683.8,5893.76,5473.85,5848.77,6343.66,5618.05,9978.68,6540.94,7083.13,8294.41,11908.74,15946.35,17552.52,14446.67,13228.9,9836.35,10976.3,9385.83,8908,11597.47,5739.63,7128.25,5575.05,4258.43,3810.99,3085.82,3162.97,3173.25,3512.69,2859.53,3121.82,3569.27,3049.82,3162.97,3168.11,2977.82,3610.41,4273.86,5107.03,5240.75,4510.44,4181.29,7277.39,6310.5,5045.32,5909.35,3126.97,2031.5,3291.54,2618.99,3972,4885.88,4875.18,3430.31,2636.14,1565,1601.7,1468.23,1017.75,1151.22
EVERBRIGHT JIABAO 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SJI(WC08287A),CH,5.145,5.213,5.031,4.877,4.445,4.308,4.418,4.489,3.819,3.488,4.089,3.835,3.635,3.484,2.453,2.489,2.317,2.403,2.796,2.485,2.313,2.108,2.93,2.966,2.895,2.873,2.998,2.996,3.155,2.977,2.934,3.106,2.968,2.835,2.949,2.92,2.776,3.048,2.738,3.088,2.891,2.676,2.556,2.365,2.392,2.264,2.07,2.091,1.934,1.932,1.994,2.016,1.973,1.91,1.702,1.998,1.906,2.28,2.436,2.44,2.485,2.119,2.136
ZHONGRUN RES.INV.'A',CN:SES(P),CH,2.08,2.11,2.4,2.57,2.4,2.69,2.88,2.87,3.92,3.61,2.69,3.26,3.22,4.48,7.37,8.75,8.75,10.27,10.98,7.85,7.53,7.83,9.58,6.81,15.01,6.9,6.97,6.12,3.86,4.56,4.58,5.24,4.31,5.9,6.53,7.77,6.88,8.41,7.2,8.5,10.32,12.51,9.38,4.67,4.66,7.34,6.84,5.92,6.27,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,2.78,1.58,2.18,1.42,1.23,1.22
ZHONGRUN RES.INV.'A' - TOTAL ASSETS,CN:SES(WC02999A),CH,2318605,2285229,2281387,2646732,2650659,2594283,2578260,2593614,2550068,2528409,2486666,2495291,2405151,2476229,2501239,2917051,3118721,3264513,3197904,3406183,3340534,3174032,3204257,3869849,3805166,3167504,3116494,3297141,3270640,3301617,3334048,2842680,3103002,4657662,5085065,5388665,5335991,5472296,5930608,5738202,5711644,5674429,5442027,5391172,3904280,3416344,3478123,3091511,3261892,3245793,3193100,123,213,688,1943,5082,481,149,223,492933,507008,808227,788430
ZHONGRUN RES.INV.'A' - MRKT VALUE TO BOOK,CN:SES(MTBV),CH,3.61,3.67,4.17,4.47,4.17,4.67,2.55,2.54,3.48,3.2,2.37,2.88,2.84,3.95,6.78,8.05,8.05,9.45,6.91,4.94,4.74,4.93,6.2,4.41,9.72,4.47,4.59,4.03,2.54,3,2.56,2.93,2.41,3.29,4.19,4.98,4.41,5.4,5.57,6.58,7.99,9.68,8.92,4.44,4.43,6.98,9.16,7.92,8.39,4.95,7.53,2.42,2.42,2.42,-6.98,-6.98,-6.98,-5.23,-2.42,-3.34,-2.17,-1.89,1.7
ZHONGRUN RES.INV.'A' - MARKET VALUE,CN:SES(MV),CH,1932.36,1960.23,2229.64,2387.57,2229.64,2499.06,2675.57,2666.28,3641.75,3353.75,2499.06,3028.59,2991.44,4162,6846.86,8128.9,8128.9,9541.01,10200.61,7292.79,6995.5,7274.2,8899.99,6326.61,13944.55,6410.22,6475.25,5685.58,3586.01,4236.32,4254.9,4868.05,4004.07,5481.2,6061.84,7215.37,6386.99,7811.48,6688.92,7896.64,9592.1,11620.46,8717.28,4335.41,4327.67,6820.54,6356.02,5496.68,5821.84,3437.36,3437.36,1106.01,1106.01,1106.01,1106.01,1106.01,1106.01,829.51,473.29,652.65,423.47,368.67,366.18
ZHONGRUN RES.INV.'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SES(WC08287A),CH,4.622,4.486,4.267,2.758,2.64,2.587,2.461,2.491,2.423,2.354,2.363,2.407,2.462,2.623,2.478,2.189,2.332,2.262,2.166,2.199,2.208,2.14,2.233,2.829,2.708,2.276,2.208,2.201,2.107,2.029,2.004,1.668,1.826,2.98,3.513,4.074,4.219,4.431,4.943,4.876,5.373,5.637,5.57,6.034,5.005,4.757,5.012,4.835,6.016,6.783,6.996,-0.001,-0.001,-0.004,-0.012,-0.025,-0.002,-0.001,-0.001,-115.414,26.157,3.984,3.653
SHANGHAI CHNGTU.HDGCO. 'A',CN:SJF(P),CH,13.65,12.12,12.4,12.55,15.98,12.25,13.5,13.75,16.17,15.18,11.26,11.12,12.48,15.44,16.95,17.6,18.12,17.6,18.56,20.01,24.98,18.18,22.39,21.16,24.29,24.84,23.79,12.33,10.18,10.21,11.76,13.81,7.13,8.66,9,6.32,7.09,6.74,6.77,8.08,9.63,10.2,9.12,9.07,8.51,12.05,12.44,11.03,13.41,12.1,6.97,8.7,9.37,15.55,20.44,20.39,17.65,13.17,10.71,8,6.45,5.96,5.59
SHANGHAI CHNGTU.HDGCO. 'A' - TOTAL ASSETS,CN:SJF(WC02999A),CH,28104850,27757414,28644153,28407875,26473389,23028731,23361142,22554159,20972398,20581465,20082396,20201530,19967462,20346175,20150775,18210918,17539254,17289520,17835245,17482824,17832291,17163308,17467016,14185367,15609530,14005870,12274757,10488986,10207888,10217974,10218403,9814473,9560893,9489852,9269027,8956941,8941424,9094935,8697819,8260426,8073294,8325255,8405399,8036860,8080802,7709676,7367610,6520799,6305010,6007470,5924063,5568188,5853791,5559454,NA,5162712,4977459,5058828,NA,NA,NA,NA,NA
SHANGHAI CHNGTU.HDGCO. 'A' - MRKT VALUE TO BOOK,CN:SJF(MTBV),CH,1.42,1.26,1.29,1.31,1.67,1.28,1.53,1.55,1.83,1.72,1.43,1.41,1.58,1.96,2.13,2.21,2.28,2.21,2.41,2.6,3.24,2.36,2.76,2.61,2.31,2.37,3.8,1.97,1.63,1.63,2.37,2.78,1.43,1.74,1.94,1.37,1.53,1.46,1.56,1.86,2.22,2.35,2.3,2.29,2.15,3.04,3.45,3.06,3.72,3.35,2.11,2.63,2.83,4.7,6.46,6.45,5.58,4.17,3.73,2.79,2.24,2.08,2.14
SHANGHAI CHNGTU.HDGCO. 'A' - MARKET VALUE,CN:SJF(MV),CH,11605.73,10304.87,10542.93,10670.47,13586.78,10415.39,11478.19,11690.75,13748.32,12906.59,9573.66,9454.63,10610.95,13127.65,14411.5,14964.16,15406.28,14964.16,15780.39,17013.23,21238.91,15457.29,19036.8,17991.01,15949.99,16311.14,15621.66,8096.47,6684.68,6704.38,7722.18,9068.31,4681.9,5686.57,5909.84,4150.02,4655.63,4425.81,4445.51,5305.72,6323.52,6697.81,5988.63,5955.8,5587.48,7909.63,8166.32,7241.05,8805.07,7945.45,4578.63,5712.84,6154.59,10213.87,13419.52,13389.67,11586.87,8649.86,7032.11,5253.19,4232.4,3916.02,3671.27
SHANGHAI CHNGTU.HDGCO. 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SJF(WC08287A),CH,2.632,2.616,2.662,2.763,2.652,2.262,2.354,2.408,2.261,2.157,2.272,2.35,2.363,2.27,2.254,2.013,2.03,1.978,2.063,2.049,2.091,1.931,1.92,1.762,1.903,1.947,2.112,2.181,2.17,2.188,2.213,2.199,2.179,2.16,2.157,2.129,2.154,2.209,2.155,2.088,2.065,2.173,2.285,2.355,2.402,2.265,2.198,2.013,1.961,1.863,1.925,1.765,1.922,1.865,NA,1.873,1.842,1.846,NA,NA,NA,NA,NA
SHANGHAI NEW HUANG PU INDUSTRIAL GROUP 'A',CN:SHR(P),CH,5.47,5.66,7.02,6.48,6.1,5.26,7.02,7.15,8.5,10.25,8.52,8.32,11.19,12.14,12.17,15.06,13.52,16.62,14.74,12.47,11.87,11.38,11.84,10.01,14.72,14.42,13.56,11.99,12.25,10.87,10.2,12.17,8.05,7,8.42,7.57,7.01,7,5.94,6.98,8.29,7.82,7.52,8.45,7.37,13.6,14.37,9.89,11.56,10.7,7.62,10.22,13.4,14.92,21.5,22.42,14.02,11.63,4.83,3.97,4.4,3.92,3.47
SHANGHAI NEW HUANG PU INDUSTRIAL GROUP 'A' - TOTAL ASSETS,CN:SHR(WC02999A),CH,22038329,21973661,20078504,18624571,16545357,14896218,15101696,13840301,14171472,13486330,12573218,11909568,11623312,10453302,10720826,9814076,9761523,11283714,10510570,11215540,10156374,10098960,9362079,9718044,10099507,10366775,10092304,10129946,9850185,9698511,9433162,9120188,9149314,8984646,8477330,8148876,8199502,7410878,7189300,7610078,6997139,6579430,6789258,6645891,6499890,6269503,6436354,4975070,5224770,4713347,3842732,3793702,3788890,3718791,3657360,3131897,3115000,3285278,3103596,2832285,2838825,2804300,2567014
SHANGHAI NEW HUANG PU INDUSTRIAL GROUP 'A' - MRKT VALUE TO BOOK,CN:SHR(MTBV),CH,0.85,0.88,1.1,1.01,0.95,0.82,1.16,1.18,1.41,1.7,1.25,1.22,1.65,1.79,1.95,2.41,2.16,2.66,2.72,2.3,2.19,2.1,2.2,1.86,2.74,2.69,2.63,2.33,2.38,2.11,2.05,2.44,1.61,1.4,1.75,1.57,1.46,1.45,1.32,1.56,1.85,1.74,1.71,1.93,1.68,3.1,3.63,2.5,2.92,2.7,2.02,2.71,3.55,3.95,5.98,6.23,3.9,3.23,1.42,1.16,1.29,1.15,1.04
SHANGHAI NEW HUANG PU INDUSTRIAL GROUP 'A' - MARKET VALUE,CN:SHR(MV),CH,3683.48,3811.43,4727.24,4363.61,4107.72,3542.07,4727.24,4814.79,5723.87,6902.31,5737.34,5602.66,7536.43,8176.16,8198.6,10140.23,9107.69,11195.21,9926.99,8400.62,7990.97,7665.5,7974.14,6739.58,9915.77,9713.74,9130.14,8075.15,8249.11,7323.19,6868.64,8192.99,5420.84,4713.77,5667.75,5100.98,4719.39,4713.77,4001.1,4702.55,5583.58,5263.71,5061.7,5690.2,4960.69,9158.19,9680.07,6661.01,7783.34,7205.34,5129.04,6885.48,9023.51,10050.44,14478.02,15095.3,9444.38,7833.85,3254.75,2676.75,2962.94,2643.08,2340.05
SHANGHAI NEW HUANG PU INDUSTRIAL GROUP 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SHR(WC08287A),CH,4.997,5.118,4.655,4.502,4.006,3.663,3.712,3.106,3.031,2.904,2.748,2.886,2.698,2.468,2.547,2.314,2.294,3.082,2.88,3.054,2.803,2.777,2.588,2.708,2.849,2.942,2.91,3.061,3.001,2.872,2.81,2.759,2.801,2.747,2.615,2.512,2.618,2.426,2.381,2.514,2.358,2.203,2.297,2.299,2.306,2.216,2.411,1.911,1.973,1.827,1.511,1.513,1.523,1.51,1.51,1.334,1.337,1.413,1.35,1.232,1.239,1.24,1.145
SHANGHAI WANYE ENTS. 'A',CN:SZI(P),CH,18.24,13.01,20.17,17.88,19.58,15.25,15.67,11.18,9.85,10.73,7.57,8.52,10.68,10.13,11.17,11.16,9.3,10.82,10.3,10.97,10.81,11.37,13.16,9.36,9.36,6.34,5.17,3.99,3.31,3.35,3.58,3.99,2.62,3.16,3.55,3.35,3.88,3.89,3.78,4.88,7.58,6.44,6.07,6.55,5.5,7.23,7.93,6.89,8.35,6.56,3.46,3.27,4.03,8.7,10.47,11.06,8.2,4.27,3.11,2.76,2.71,2.69,1.91
